film_name,year_of_release,box_office_gross_usd
Inception,2010,292576195
The Dark Knight,2008,533345358
Interstellar,2014,188020017
Tenet,2020,58374665
Dunkirk,2017,190068280
The Prestige,2006,53082000
Oppenheimer,2023,329808855
